epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,5395.71,0.91575,0.62198,1.40735,0.85354,0.82898,0.90214,0.72459,0.8865,0.7647,1.68433,8.70577e-05,8.70577e-05,8.70577e-05
84,5460.16,0.9188,0.63189,1.39555,0.86325,0.82375,0.90138,0.72512,0.87818,0.74802,1.64423,7.89327e-05,7.89327e-05,7.89327e-05
85,5525.1,0.90279,0.61876,1.40883,0.83916,0.8362,0.8989,0.72293,0.88979,0.74745,1.66258,7.12282e-05,7.12282e-05,7.12282e-05
86,5596.57,0.81946,0.53282,1.38609,0.84436,0.8339,0.90337,0.72771,0.89697,0.75654,1.68983,6.39518e-05,6.39518e-05,6.39518e-05
87,5658.71,0.81672,0.52392,1.37995,0.85226,0.83067,0.90566,0.73016,0.89104,0.76209,1.67384,5.71106e-05,5.71106e-05,5.71106e-05
88,5721.96,0.82191,0.53496,1.39153,0.86528,0.81246,0.90311,0.72898,0.90096,0.76898,1.69451,5.07115e-05,5.07115e-05,5.07115e-05
89,5784,0.81663,0.52321,1.37163,0.86557,0.82632,0.90614,0.73305,0.89182,0.76354,1.67885,4.47606e-05,4.47606e-05,4.47606e-05
90,5844.68,0.8228,0.52863,1.37321,0.8571,0.821,0.90269,0.73105,0.89664,0.75917,1.67258,3.9264e-05,3.9264e-05,3.9264e-05
91,5907.28,0.82158,0.52127,1.40538,0.84357,0.83941,0.90446,0.72933,0.89378,0.75614,1.62565,3.4227e-05,3.4227e-05,3.4227e-05
92,5971.9,0.81768,0.51679,1.40169,0.84473,0.83359,0.90251,0.7283,0.88767,0.74185,1.61126,2.96546e-05,2.96546e-05,2.96546e-05
93,6032.74,0.81493,0.51914,1.36877,0.85904,0.82161,0.9033,0.72997,0.88389,0.73533,1.61039,2.55513e-05,2.55513e-05,2.55513e-05
94,6093.71,0.81601,0.52155,1.36855,0.85131,0.83021,0.90461,0.73067,0.88095,0.72837,1.63996,2.19212e-05,2.19212e-05,2.19212e-05
95,6156.38,0.81027,0.51589,1.39725,0.85561,0.82784,0.9041,0.73042,0.8859,0.73879,1.64676,1.87678e-05,1.87678e-05,1.87678e-05
96,6217.09,0.81135,0.51465,1.37282,0.85861,0.82806,0.90561,0.73258,0.88248,0.74496,1.65949,1.60943e-05,1.60943e-05,1.60943e-05
97,6281.3,0.80999,0.52208,1.3989,0.85293,0.8296,0.90432,0.73095,0.89011,0.75304,1.6492,1.39032e-05,1.39032e-05,1.39032e-05
98,6343.79,0.80961,0.51457,1.38313,0.8493,0.83232,0.90446,0.73108,0.88456,0.75527,1.65534,1.21968e-05,1.21968e-05,1.21968e-05
99,6407.45,0.81622,0.52038,1.41684,0.85043,0.83144,0.90466,0.73255,0.88336,0.74604,1.6614,1.09768e-05,1.09768e-05,1.09768e-05
100,6468.51,0.81211,0.51519,1.39328,0.85248,0.83567,0.90716,0.73455,0.87733,0.73593,1.65053,1.02443e-05,1.02443e-05,1.02443e-05
1,551.13,1.56764,1.6703,1.77967,0.75011,0.61038,0.70703,0.47815,1.37196,1.90651,2.0262,0.0803385,0.000198601,0.000198601
2,1118.18,1.42394,1.155,1.74607,0.75948,0.7206,0.7778,0.54275,1.22295,1.19246,1.88489,0.0605384,0.000398577,0.000398577
3,1608.91,1.31877,1.06812,1.66095,0.76191,0.73473,0.78992,0.55119,1.20865,1.01006,1.93118,0.0407383,0.000598455,0.000598455
4,2243.68,1.32943,1.03627,1.71786,0.78893,0.73331,0.8102,0.57437,1.19882,1.02456,1.85841,0.020938,0.000798163,0.000798163
5,2646.87,1.32297,1.02606,1.70662,0.79434,0.76487,0.82195,0.58838,1.14591,1.04149,1.89906,0.00113749,0.000997626,0.000997626
6,3364.71,1.2785,0.99643,1.66214,0.77939,0.78205,0.83084,0.61434,1.11399,0.99281,1.84659,0.000998474,0.000998474,0.000998474
7,4232.74,1.24428,0.97597,1.64327,0.73416,0.74424,0.79778,0.58706,1.10888,1.03181,1.89421,0.000997803,0.000997803,0.000997803
8,4870.9,1.26867,0.97506,1.65109,0.7898,0.78217,0.84266,0.60914,1.12417,0.95597,1.97165,0.000997011,0.000997011,0.000997011
9,5197.52,1.24396,0.93679,1.66612,0.75801,0.8098,0.84255,0.61014,1.12831,0.95958,1.89316,0.000996097,0.000996097,0.000996097
10,5865.3,1.23487,0.94772,1.66654,0.78845,0.7685,0.83105,0.61202,1.14312,0.97035,1.79996,0.000995062,0.000995062,0.000995062
11,6186.6,1.23136,0.93659,1.60952,0.80065,0.76788,0.83315,0.61145,1.136,0.95209,1.90836,0.000993906,0.000993906,0.000993906
12,6549.92,1.18944,0.88362,1.60375,0.74707,0.80012,0.82895,0.61134,1.0629,1.04776,1.84925,0.000992629,0.000992629,0.000992629
13,7364.18,1.17609,0.88551,1.63123,0.79947,0.78631,0.85578,0.64143,1.04732,0.88589,1.80659,0.000991232,0.000991232,0.000991232
14,7696.5,1.17138,0.87726,1.57766,0.81773,0.78999,0.85671,0.63941,1.03054,0.98172,1.89784,0.000989715,0.000989715,0.000989715
15,8223.42,1.16749,0.86938,1.63798,0.8039,0.78876,0.85737,0.64017,1.04169,0.90167,1.89714,0.000988079,0.000988079,0.000988079
16,8705.83,1.1583,0.85923,1.57238,0.7985,0.78477,0.84844,0.63422,1.03919,0.93208,1.71155,0.000986323,0.000986323,0.000986323
17,9096.92,1.15769,0.86627,1.58559,0.79534,0.79859,0.85386,0.63917,1.02392,0.92842,1.90442,0.000984449,0.000984449,0.000984449
18,9347.24,1.12356,0.83507,1.55507,0.80325,0.79468,0.85762,0.64878,1.01017,0.85877,1.8064,0.000982456,0.000982456,0.000982456
19,9951.06,1.15207,0.85762,1.54665,0.81917,0.77055,0.85607,0.63279,1.05808,0.87478,1.84092,0.000980345,0.000980345,0.000980345
20,10522.7,1.12141,0.83129,1.59569,0.80115,0.80898,0.8595,0.65243,1.00935,0.87857,1.83843,0.000978118,0.000978118,0.000978118
21,10904.2,1.12064,0.80417,1.55371,0.7946,0.80293,0.85623,0.65281,1.0362,0.88721,1.93214,0.000975773,0.000975773,0.000975773
22,11409.4,1.12562,0.8133,1.56637,0.81081,0.81885,0.86825,0.6638,0.99971,0.86519,1.69029,0.000973312,0.000973312,0.000973312
